village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dani Chapori,30,76,0,55,51,0,13,89,4,106,0,52,35,19,0,100,6,1,,106,0,103,3,106,0,0,106,102,4
Gormora Chapori No.1,19,126,0,89,56,0,12,131,2,145,0,70,75,0,0,113,32,0,,145,0,134,11,145,0,0,145,139,6
Doyongia Goal Gaon,36,149,0,117,68,0,19,164,2,185,0,95,90,0,0,143,42,0,,185,0,171,14,185,0,0,185,169,16
Puli Koroiani,18,55,0,51,22,0,10,62,1,73,0,46,27,0,0,55,18,0,,73,0,69,4,73,0,0,73,65,8
Kachari Pam Gaon,58,152,0,176,34,0,14,172,24,210,0,104,78,28,0,182,28,0,,210,0,197,13,210,0,0,210,198,12
Mudoi Gaon,47,181,0,158,70,0,24,201,3,228,0,126,90,12,0,197,31,0,,228,0,213,15,228,0,0,228,212,16
Telia Sonari Gaon,2,81,0,47,36,0,8,72,3,83,0,9,32,42,0,80,3,0,,83,0,77,6,83,0,0,83,78,5
Bali Dowar,198,702,0,552,348,0,91,789,20,900,0,478,422,0,0,675,225,0,,900,0,838,62,900,0,0,900,823,77
Bari Chowa Gaon,94,281,0,233,142,0,38,318,19,375,0,203,164,8,0,291,84,0,,375,0,350,25,375,0,0,375,344,31
Bogorioni,23,51,0,50,24,0,4,67,3,74,0,41,30,3,0,62,12,0,,74,0,68,6,74,0,0,74,70,4
Bongal Gaon,50,169,0,119,100,0,24,182,13,219,0,119,94,6,0,173,46,0,,219,0,210,9,219,0,0,219,203,16
Dadhora Ahom Gaon,95,247,0,223,119,0,38,289,15,342,0,194,142,6,0,266,76,0,,342,0,319,23,342,0,0,342,316,26
Hanhchowa Gaon,16,29,0,31,14,0,6,36,3,45,0,27,18,0,0,33,12,0,,45,0,43,2,45,0,0,45,43,2
Molai Kumar Gaon,93,222,0,315,0,0,23,232,60,315,0,170,127,18,0,266,49,0,,315,0,304,11,315,0,0,315,289,26
Lengera Chapori,4,16,0,20,0,0,2,18,0,20,0,11,9,0,0,18,2,0,,20,0,20,0,20,0,0,20,20,0
Koroiani Bhakat Gaon,29,114,0,143,0,0,14,123,6,143,0,78,65,0,0,101,42,0,,143,0,133,10,143,0,0,143,129,14
Mamoroni Gaon,11,50,0,61,0,0,7,53,1,61,0,29,32,0,0,49,12,0,,61,0,55,6,61,0,0,61,53,8
No 1 Khokondaguri,12,44,0,56,0,0,7,49,0,56,0,29,27,0,0,48,8,0,,56,0,54,2,56,0,0,56,53,3
Puranimati Bhakat Gaon,24,98,0,122,0,0,18,101,3,122,0,59,63,0,0,95,27,0,,122,0,112,10,122,0,0,122,111,11
