village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mugkalyan (CT),0,18,1,19,0,0,19,0,0,11,8,13,5,1,0,0,19,19,0,3,16,19,0,6,13,19,0
Chaitanyapur,0,10,0,10,0,0,10,0,0,5,5,9,1,0,0,0,10,10,0,0,10,10,0,6,4,10,0
Nazarpur,0,11,0,11,0,0,8,3,0,4,7,5,6,0,0,0,11,11,0,3,8,11,0,1,10,11,0
Benapur,0,31,3,34,0,0,29,5,0,16,18,26,5,3,0,0,34,34,0,3,31,34,0,25,9,31,3
Chandanapara,0,25,2,27,0,0,25,2,0,16,11,15,10,2,0,0,27,27,0,1,26,27,0,12,15,25,2
Khajurnan,0,17,3,20,0,0,19,1,0,9,11,8,9,3,0,0,20,20,0,1,19,20,0,9,11,19,1
Brindabanpur,0,10,0,10,0,0,9,1,0,8,2,6,4,0,0,0,10,10,0,0,10,10,0,0,10,10,0
Baidyanathpur,0,11,0,11,0,0,6,5,0,3,8,3,8,0,0,0,11,11,0,2,9,11,0,4,7,11,0
Rabibhag,0,49,0,49,0,0,36,13,0,34,15,41,8,0,0,7,42,49,0,3,46,49,0,21,28,49,0
Katapukuria,0,12,7,19,0,0,10,9,0,10,9,2,12,5,0,0,19,19,0,0,19,19,0,5,14,19,0
Charkata Pukuria,0,11,0,11,0,0,11,0,0,4,7,4,7,0,0,0,11,11,0,0,11,11,0,2,9,11,0
Kazibhuara,0,11,0,11,0,0,10,1,0,7,4,7,4,0,0,0,11,11,0,0,11,11,0,1,10,11,0
Kulitapara (CT),0,21,0,21,0,0,18,3,0,14,7,10,11,0,0,1,20,21,0,3,18,21,0,0,21,21,0
Birkul,0,2,0,2,0,0,2,0,0,0,2,1,1,0,0,0,2,2,0,0,2,2,0,0,2,2,0
Khanjadapur,0,12,8,20,0,0,10,10,0,9,11,5,8,7,0,1,19,20,0,3,17,20,0,5,15,20,0
Naupala (CT),0,5,0,5,0,0,4,1,0,1,4,2,3,0,0,0,5,5,0,0,5,5,0,1,4,5,0
Duaniguzrat,0,20,0,20,0,0,20,0,0,16,4,10,10,0,0,11,9,20,0,0,20,20,0,6,14,20,0
Mellak,0,30,0,30,0,0,30,0,0,20,10,15,15,0,0,1,29,30,0,20,10,30,0,1,29,30,0
Chhayani Guzrat,0,18,0,18,0,0,18,0,0,15,3,8,10,0,0,6,12,18,0,0,18,18,0,5,13,18,0
Panchani Guzrat,0,20,0,20,0,0,9,11,0,7,13,10,10,0,0,0,20,20,0,0,20,20,0,2,18,20,0
Kanaipur (CT),0,21,0,21,0,0,13,8,0,8,13,6,15,0,0,1,20,21,0,0,21,21,0,4,17,21,0
Raynagar,0,18,1,19,0,0,7,12,0,4,15,2,17,0,0,0,19,19,0,0,19,19,0,3,16,19,0
Chandrabhag,0,21,0,21,0,0,5,16,0,2,19,4,17,0,0,0,21,21,0,0,21,21,0,3,18,21,0
Basudebpur,0,17,0,17,0,0,7,10,0,0,17,0,17,0,0,0,17,17,0,0,17,17,0,0,17,17,0
Matinala,0,20,0,20,0,0,17,3,0,16,4,16,4,0,0,0,20,20,0,15,5,20,0,0,20,20,0
Orphuli,0,17,0,17,0,0,11,6,0,15,2,15,2,0,0,0,17,17,0,1,16,17,0,3,14,17,0
Chak Kamala,0,17,0,17,0,0,12,5,0,13,4,17,0,0,0,1,16,17,0,1,16,17,0,6,11,17,0
Bankurdaha,0,15,0,15,0,0,9,6,0,14,1,15,0,0,0,1,14,15,0,0,15,15,0,3,12,15,0
Asharia,0,21,0,21,0,0,17,4,0,10,11,13,8,0,0,0,21,21,0,13,8,21,0,1,20,21,0
Kamardaha,0,20,0,20,0,0,15,5,0,14,6,20,0,0,0,1,19,20,0,2,18,20,0,6,14,20,0
Ishwaripur,0,20,0,20,0,0,12,8,0,15,5,14,6,0,0,0,20,20,0,11,9,20,0,1,19,20,0
Heledwip,0,15,0,15,0,0,12,3,0,13,2,15,0,0,0,0,15,15,0,0,15,15,0,0,15,15,0
Rupasgari,0,29,0,29,0,0,12,17,0,27,2,29,0,0,0,1,28,29,0,5,24,29,0,7,22,29,0
Halyan (CT),0,21,0,21,0,0,13,8,0,18,3,21,0,0,0,0,21,21,0,1,20,21,0,6,15,21,0
Bansberia,0,15,0,15,0,0,13,2,0,11,4,14,1,0,0,1,14,15,0,2,13,15,0,3,12,15,0
Paikpari,0,9,0,9,0,0,5,4,0,0,9,4,5,0,0,1,8,9,0,1,8,9,0,5,4,9,0
Borar,0,10,0,10,0,0,3,7,0,0,10,3,7,0,0,1,9,10,0,0,10,10,0,3,7,10,0
Santoshpur,0,11,0,11,0,0,4,7,0,0,11,2,9,0,0,2,9,11,0,0,11,11,0,7,4,11,0
Athila,0,11,0,11,0,0,6,5,0,2,9,4,7,0,0,1,10,11,0,0,11,11,0,6,5,11,0
Gunandapur,0,9,0,9,0,0,3,6,0,1,8,2,7,0,0,1,8,9,0,0,9,9,0,3,6,9,0
